,Date,Close,Volume,Fluctuations,Lag1,Lag2,Lag3,Lag4,Lag5,Change_wrt_market,ma21_Close,ma21_Volume,ma21_Fluctuations,CCI,Time,Headlines,News,Change_wrt_market_x,Anomaly
0,2020-01-01,207.85000610351562,1553127.0,3.8000030517578125,,,,,,,,,,,,,,,
1,2020-01-02,211.1999969482422,2991937.0,5.6999969482421875,3.3499908447265625,,,,,1.9694002536003572,,,,,,,,,
2,2020-01-03,208.3000030517578,2512421.0,6.5500030517578125,-2.899993896484375,0.4499969482421875,,,,3.0359653593240674,,,,,,,,,
3,2020-01-06,199.5500030517578,4353179.0,10.0,-8.75,-11.649993896484375,-8.300003051757812,,,2.198630979709202,,,,,,,,,
4,2020-01-07,204.0500030517578,2966120.0,5.149993896484375,4.5,-4.25,-7.149993896484375,-3.8000030517578125,,4.515031220294358,,,,,,,,,
5,2020-01-08,201.5,5762654.0,9.0,-2.5500030517578125,1.9499969482421875,-6.8000030517578125,-9.699996948242188,-6.350006103515625,5.457316663878134,,,,,,,,,
6,2020-01-09,208.0,3496063.0,7.0,6.5,3.9499969482421875,8.449996948242188,-0.3000030517578125,-3.1999969482421875,2.0357539390997754,,,,,,,,,
7,2020-01-10,209.10000610351562,2769132.0,7.100006103515625,1.100006103515625,7.600006103515625,5.0500030517578125,9.550003051757812,0.8000030517578125,1.5795746544440934,,,,,,,,,
8,2020-01-13,213.60000610351562,3527267.0,6.649993896484375,4.5,5.600006103515625,12.100006103515625,9.550003051757812,14.050003051757812,3.625789302287588,,,,,,,,,
9,2020-01-14,214.35000610351562,1775182.0,3.649993896484375,0.75,5.25,6.350006103515625,12.850006103515625,10.300003051757812,1.321891827384071,,,,,,,,,
10,2020-01-15,216.60000610351562,1982079.0,5.5,2.25,3.0,7.5,8.600006103515625,15.100006103515625,-6.829748141510291,,,,,,,,,
11,2020-01-16,220.0,4280379.0,5.5,3.399993896484375,5.649993896484375,6.399993896484375,10.899993896484375,12.0,15.881231160147827,,,,,7.56 pm,"CBI Books Adani Enterprises, 3 Ex-NCCF Officials For Alleged Irregularities In Coal Supply Contract"," The CBI has booked Ahmedabad-based Adani Enterprises and three former senior officials of National Cooperative Consumers' Federation of India (NCCF) for alleged corruption in the contract for supply of 6 lakh MT of imported coal to Andhra Pradesh Power Generation Corporation in 2010, officials said on January 16.In its FIR filed on Wednesday after a detailed preliminary enquiry in the matter, the CBI booked Adani Enterprises Ltd, the then NCCF chairman Virender Singh, the then managing director G P Gupta and senior advisor SC Singhal under IPC sections related to alleged criminal conspiracy, cheating under Indian Penal Code and Provisions of Prevention of Corruption Act, they said.The Adani Group said the matter is an old one and it was a preliminary investigation report only.""There is a news item about lodging of an FIR by CBI against National Cooperative Consumer Federation and Adani Enterprises Ltd. related to supply of imported coal. The subject matter is an old one. Adani Enterprises Ltd. has complied with the process, all formalities and relevant laws for the subject supply of coal. The company has not done anything wrong in supply of coal,"" a statement quoted Adani spokesperson as saying.The spokesperson said it was a preliminary investigation report only.�""The company shall respond to the same and shall also put forth the factual position to the authority,"" the statement said.It is alleged that the NCCF officers ""committed irregularities by manipulating the selection of the bidders, thereby giving undue favour to Adani Enterprises Ltd. in award of work for supply of imported coal to APGENCO despite its disqualification.Close  Related stories BJP men helped people amid COVID-19 surge, some were active only on Twitter: J P NaddaFirst-mover advantage is immense now after J&K drone attack: Group Captain Khera APGENCO had floated a limited tender enquiry on June 29, 2010 for the supply of six lakh MTs of imported coal via sea ports to Narla Tata Rao Thermal Power Plant in Vijaywada and Rayalaseema Thermal Power Plant (RTPP) in Kadapa free-on-rail basis via ports of Chennai, Vizag, Krishnapatnam and Kakinada, they said.NCCF, which was one of the PSUs approached by APGENCO, had shortlisted six companies for the contract through a tender issued on July 7, 2010 cancelling the bid of a company Maharishi Brothers Coal Limited (MBCL) selected just six days before without any tendering process, the FIR alleged.The argument given for the selection of MBCL was the close deadline of July 7, 2010 by APGENCO which was later extended to July 12.""It is pertinent to mention here that before extension of the date of tender they had seven days (July 01, 2010 to July 07.2010) and after extension of date they had five days only (July 08 to July 12, 2010) but now management felt that they have sufficient time to call open tender,"" the CBI FIR alleged.The draft tender notice on July 7 was discussed and approved by three senior officials of NCCF -- Singhal, Gupta, and Singh -- who ignored laid-down guidelines without consulting the Head Office level committee, it alleged.The agency has alleged that during the tendering process, the officials favoured Adani Enterprises Ltd even though it had not given any trading margin for NCCF in contrast to two bidders Gupta Coal India and MBCL who had quoted much higher margins of 11.3 per cent and 2.25 per cent respectively, they said.The CBI alleged that acts of ""omission and commission"" by the NCCF officers disclose that they acted in ""a manner as unbecoming of public servants"" and conspired with the company.The FIR said the officers ""committed irregularities by the way of manipulation in the selection of the bidders, thereby giving undue favour to Adani Enterprises in award of work for supply of imported coal to APGENCO despite its disqualification"".The CBI has alleged that senior officers of NCCF did post tender negotiations with Adani Enterprises to give it undue benefits even though the company did not qualify when tender was opened at Hyderabad office of NCCF, the officials said.""Instead of cancelling the bid of Adani Enterprises Ltd. senior management of NCCF conveyed the offer margin of NCCF to the company through one of its representatives Munish Sehgal who was sitting in the NCCF head office on July 10, 2010 in the evening...,"" the FIR alleged.It said subsequently Adani Enterprises Ltd on the same day informed NCCF that they agree to pay minimum margin charge of 2.25 per cent to NCCF.""It is prima facie evident that when the bids were being processed at NCCF HO. New Delhi. representative of Adani Enterprises was Informed regarding their imminent rejection due to non submission of NCCF margin and also that MBCL, the eligible bidder had quoted 2 25 per cent margin,"" the FIR alleged.The agency has also alleged that Vyom Trade Links was a proxy of Adani Enterprises which had given it an unsecured loan of Rs 16.81 crore and withdrew its offer at last stage on ""flimsy grounds""
   ",,
12,2020-01-17,228.39999389648438,10810744.0,15.550003051757812,8.399993896484375,11.79998779296875,14.04998779296875,14.79998779296875,19.29998779296875,-149.74495798081085,,,,,,,,,
